pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
200,"{""icon"": ""c000000""}",base,145-1,1,present,,52,1,
201,"{""icon"": ""c990099""}",base,145-0,0,absent,,52,0,
202,"{""icon"": ""ccccccc""}",base,145-N/A,N/A,Not Applicable,,52,3,
203,"{""icon"": ""cff66ff""}",base,145-?,?,Not known,,52,2,
204,"{""icon"": ""c000000""}",base,146-1,1,present,,53,1,
205,"{""icon"": ""c990099""}",base,146-0,0,absent,,53,0,
206,"{""icon"": ""ccccccc""}",base,146-N/A,N/A,Not Applicable,,53,3,
207,"{""icon"": ""cff66ff""}",base,146-?,?,Not known,,53,2,
208,"{""icon"": ""c000000""}",base,147-1,1,present,,54,1,
209,"{""icon"": ""c990099""}",base,147-0,0,absent,,54,0,
210,"{""icon"": ""ccccccc""}",base,147-N/A,N/A,Not Applicable,,54,3,
211,"{""icon"": ""cff66ff""}",base,147-?,?,Not known,,54,2,
212,"{""icon"": ""c000000""}",base,148-1,1,present,,55,1,
213,"{""icon"": ""c990099""}",base,148-0,0,absent,,55,0,
214,"{""icon"": ""ccccccc""}",base,148-N/A,N/A,Not Applicable,,55,3,
215,"{""icon"": ""cff66ff""}",base,148-?,?,Not known,,55,2,
216,"{""icon"": ""c000000""}",base,149-1,1,present,,56,1,
217,"{""icon"": ""c990099""}",base,149-0,0,absent,,56,0,
218,"{""icon"": ""ccccccc""}",base,149-N/A,N/A,Not Applicable,,56,3,
219,"{""icon"": ""cff66ff""}",base,149-?,?,Not known,,56,2,
220,"{""icon"": ""c000000""}",base,15-1,1,present,,57,1,
221,"{""icon"": ""c9999ff""}",base,15-0,0,absent,,57,0,
222,"{""icon"": ""cff4400""}",base,15-?,?,Not known,,57,2,
223,"{""icon"": ""c000000""}",base,150-1,1,present,,58,1,
224,"{""icon"": ""c990099""}",base,150-0,0,absent,,58,0,
225,"{""icon"": ""ccccccc""}",base,150-N/A,N/A,Not Applicable,,58,3,
226,"{""icon"": ""cff66ff""}",base,150-?,?,Not known,,58,2,
227,"{""icon"": ""c000000""}",base,151-1,1,present,,59,1,
228,"{""icon"": ""c990099""}",base,151-0,0,absent,,59,0,
229,"{""icon"": ""ccccccc""}",base,151-N/A,N/A,Not Applicable,,59,3,
230,"{""icon"": ""cff66ff""}",base,151-?,?,Not known,,59,2,
231,"{""icon"": ""c000000""}",base,152-1,1,present,,60,1,
232,"{""icon"": ""c990099""}",base,152-0,0,absent,,60,0,
233,"{""icon"": ""ccccccc""}",base,152-N/A,N/A,Not Applicable,,60,3,
234,"{""icon"": ""cff66ff""}",base,152-?,?,Not known,,60,2,
235,"{""icon"": ""c000000""}",base,153-1,1,present,,61,1,
236,"{""icon"": ""c990099""}",base,153-0,0,absent,,61,0,
237,"{""icon"": ""ccccccc""}",base,153-N/A,N/A,Not Applicable,,61,3,
238,"{""icon"": ""cff66ff""}",base,153-?,?,Not known,,61,2,
239,"{""icon"": ""c000000""}",base,154-1,1,present,,62,1,
240,"{""icon"": ""c990099""}",base,154-0,0,absent,,62,0,
241,"{""icon"": ""ccccccc""}",base,154-N/A,N/A,Not Applicable,,62,3,
242,"{""icon"": ""cff66ff""}",base,154-?,?,Not known,,62,2,
243,"{""icon"": ""c000000""}",base,155-1,1,present,,63,1,
244,"{""icon"": ""c990099""}",base,155-0,0,absent,,63,0,
245,"{""icon"": ""ccccccc""}",base,155-N/A,N/A,Not Applicable,,63,3,
246,"{""icon"": ""cff66ff""}",base,155-?,?,Not known,,63,2,
247,"{""icon"": ""c000000""}",base,156-1,1,present,,64,1,
248,"{""icon"": ""c990099""}",base,156-0,0,absent,,64,0,
249,"{""icon"": ""ccccccc""}",base,156-N/A,N/A,Not Applicable,,64,3,
250,"{""icon"": ""cff66ff""}",base,156-?,?,Not known,,64,2,
251,"{""icon"": ""c000000""}",base,157-1,1,present,,65,1,
252,"{""icon"": ""c990099""}",base,157-0,0,absent,,65,0,
253,"{""icon"": ""ccccccc""}",base,157-N/A,N/A,Not Applicable,,65,3,
254,"{""icon"": ""cff66ff""}",base,157-?,?,Not known,,65,2,
255,"{""icon"": ""c000000""}",base,158-1,1,present,,66,1,
256,"{""icon"": ""c990099""}",base,158-0,0,absent,,66,0,
257,"{""icon"": ""ccccccc""}",base,158-N/A,N/A,Not Applicable,,66,3,
258,"{""icon"": ""cff66ff""}",base,158-?,?,Not known,,66,2,
259,"{""icon"": ""c000000""}",base,159-1,1,present,,67,1,
260,"{""icon"": ""c990099""}",base,159-0,0,absent,,67,0,
261,"{""icon"": ""ccccccc""}",base,159-N/A,N/A,Not Applicable,,67,3,
262,"{""icon"": ""cff66ff""}",base,159-?,?,Not known,,67,2,
263,"{""icon"": ""c000000""}",base,16-1,1,present,,68,1,
264,"{""icon"": ""c9999ff""}",base,16-0,0,absent,,68,0,
265,"{""icon"": ""cff4400""}",base,16-?,?,Not known,,68,2,
266,"{""icon"": ""c000000""}",base,160-1,1,present,,69,1,
267,"{""icon"": ""c990099""}",base,160-0,0,absent,,69,0,
268,"{""icon"": ""ccccccc""}",base,160-N/A,N/A,Not Applicable,,69,3,
269,"{""icon"": ""cff66ff""}",base,160-?,?,Not known,,69,2,
270,"{""icon"": ""c000000""}",base,162-1,1,present,,70,1,
271,"{""icon"": ""c990099""}",base,162-0,0,absent,,70,0,
272,"{""icon"": ""ccccccc""}",base,162-N/A,N/A,Not Applicable,,70,3,
273,"{""icon"": ""cff66ff""}",base,162-?,?,Not known,,70,2,
274,"{""icon"": ""c000000""}",base,163-24,24,24,,71,17,
275,"{""icon"": ""c0000dd""}",base,163-25,25,25,,71,18,
276,"{""icon"": ""c009900""}",base,163-20,20,20,,71,13,
277,"{""icon"": ""c66ff33""}",base,163-21,21,21,,71,14,
278,"{""icon"": ""c990099""}",base,163-22,22,22,,71,15,
279,"{""icon"": ""c9999ff""}",base,163-23,23,23,,71,16,
280,"{""icon"": ""c99ffff""}",base,163-1,1,1,,71,1,
281,"{""icon"": ""caa0000""}",base,163-0,0,0,,71,0,
282,"{""icon"": ""ccccccc""}",base,163-3,3,3,,71,19,
283,"{""icon"": ""cdd0000""}",base,163-2,2,2,,71,12,
284,"{""icon"": ""cff4400""}",base,163-5,5,5,,71,21,
285,"{""icon"": ""cff6600""}",base,163-4,4,4,,71,20,
286,"{""icon"": ""cff66ff""}",base,163-7,7,7,,71,23,
287,"{""icon"": ""cffcc00""}",base,163-6,6,6,,71,22,
288,"{""icon"": ""cffff00""}",base,163-9,9,9,,71,25,
289,"{""icon"": ""cffffcc""}",base,163-8,8,8,,71,24,
290,"{""icon"": ""cffffff""}",base,163-?,?,Not known,,71,26,
291,"{""icon"": ""c000000""}",base,163-N/A,N/A,Not Applicable,,71,27,
292,"{""icon"": ""c0000dd""}",base,163-11,11,11,,71,3,
293,"{""icon"": ""c009900""}",base,163-10,10,10,,71,2,
294,"{""icon"": ""c66ff33""}",base,163-13,13,13,,71,5,
295,"{""icon"": ""c990099""}",base,163-12,12,12,,71,4,
296,"{""icon"": ""c9999ff""}",base,163-15,15,15,,71,7,
297,"{""icon"": ""c99ffff""}",base,163-14,14,14,,71,6,
298,"{""icon"": ""caa0000""}",base,163-17,17,17,,71,9,
299,"{""icon"": ""ccccccc""}",base,163-16,16,16,,71,8,
300,"{""icon"": ""cdd0000""}",base,163-19,19,19,,71,11,
301,"{""icon"": ""cff4400""}",base,163-18,18,18,,71,10,
302,"{""icon"": ""c000000""}",base,165-1,1,present,,72,1,
303,"{""icon"": ""c990099""}",base,165-0,0,absent,,72,0,
304,"{""icon"": ""ccccccc""}",base,165-N/A,N/A,Not Applicable,,72,3,
305,"{""icon"": ""cff66ff""}",base,165-?,?,Not known,,72,2,
306,"{""icon"": ""c000000""}",base,166-1,1,present,,73,1,
307,"{""icon"": ""c990099""}",base,166-0,0,absent,,73,0,
308,"{""icon"": ""ccccccc""}",base,166-N/A,N/A,Not Applicable,,73,3,
309,"{""icon"": ""cff66ff""}",base,166-?,?,Not known,,73,2,
310,"{""icon"": ""c000000""}",base,167-1,1,present,,74,1,
311,"{""icon"": ""c990099""}",base,167-0,0,absent,,74,0,
312,"{""icon"": ""ccccccc""}",base,167-N/A,N/A,Not Applicable,,74,3,
313,"{""icon"": ""cff66ff""}",base,167-?,?,Not known,,74,2,
314,"{""icon"": ""c000000""}",base,168-1,1,present,,75,1,
315,"{""icon"": ""c990099""}",base,168-0,0,absent,,75,0,
316,"{""icon"": ""ccccccc""}",base,168-N/A,N/A,Not Applicable,,75,3,
317,"{""icon"": ""cff66ff""}",base,168-?,?,Not known,,75,2,
318,"{""icon"": ""c000000""}",base,169-1,1,present,,76,1,
319,"{""icon"": ""c990099""}",base,169-0,0,absent,,76,0,
320,"{""icon"": ""ccccccc""}",base,169-N/A,N/A,Not Applicable,,76,3,
321,"{""icon"": ""cff66ff""}",base,169-?,?,Not known,,76,2,
322,"{""icon"": ""c000000""}",base,17-1,1,present,,77,1,
323,"{""icon"": ""c9999ff""}",base,17-0,0,absent,,77,0,
324,"{""icon"": ""cff4400""}",base,17-?,?,Not known,,77,2,
325,"{""icon"": ""c000000""}",base,170-1,1,present,,78,1,
326,"{""icon"": ""c990099""}",base,170-0,0,absent,,78,0,
327,"{""icon"": ""ccccccc""}",base,170-N/A,N/A,Not Applicable,,78,3,
328,"{""icon"": ""cff66ff""}",base,170-?,?,Not known,,78,2,
329,"{""icon"": ""c000000""}",base,171-1,1,present,,79,1,
330,"{""icon"": ""c990099""}",base,171-0,0,absent,,79,0,
331,"{""icon"": ""ccccccc""}",base,171-N/A,N/A,Not Applicable,,79,3,
332,"{""icon"": ""cff66ff""}",base,171-?,?,Not known,,79,2,
333,"{""icon"": ""c000000""}",base,172-1,1,present,,80,1,
334,"{""icon"": ""c990099""}",base,172-0,0,absent,,80,0,
335,"{""icon"": ""ccccccc""}",base,172-N/A,N/A,Not Applicable,,80,3,
336,"{""icon"": ""cff66ff""}",base,172-?,?,Not known,,80,2,
337,"{""icon"": ""c000000""}",base,173-1,1,present,,81,1,
338,"{""icon"": ""c990099""}",base,173-0,0,absent,,81,0,
