pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
175,"{""gbs"": {}}",base,hstuckerhackettzande,Tucker and Hackett 1959,Le Groupe Linguistique Zande,,,,book,"Tucker, Archibald N. and Hackett, Peter E.",1959,Le Groupe Linguistique Zande,,,,285,,,,,,,,Annalen van het Koninglijk Museum van Belgisch-Congo: Reeks in 8,22,Belgique: Tervuren,,,,,,
176,"{""gbs"": {}}",base,gabbigreatandamanese,Abbi 2013,A Grammar of the Great Andamanese Language: An Ethnolinguistic Study,,,,book,"Abbi, Anvita",2013,A Grammar of the Great Andamanese Language: An Ethnolinguistic Study,,,,330,,,,,,,,Brill's Studies in South and Southwest Asian Languages,,Leiden: Brill,,,,,,
177,"{""gbs"": {}}",base,gtoronzoningbandi,Toronzoni 1989,Description du Ngbandi,,,,phdthesis,"Toronzoni, Ngama-Nzombio Tra Ndele",1989,Description du Ngbandi,,,,760,,,Université Libre du Bruxelles,,,,,,,,,,,,,
178,"{""gbs"": {}}",base,sndiayewolof,Ndiaye 2004,Eléments de morphologie du wolof: méthodes d'analyses en linguistique,,,,book,"Ndiaye, Moussa D.",2004,Eléments de morphologie du wolof: méthodes d'analyses en linguistique,,,,,,,,,,,,Studies in African linguistics,62,München: Lincom Europa,,,,,,
179,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Peeters Pub & Booksellers"", ""description"": ""Dans l'archipel des Bijagos, en Guinee Bissau, vit une population encore profondement ancree dans la tradition. Si sa culture a depuis longtemps ete remarquee et etudiee, sa langue n'avait en revanche fait l'objet d'aucune description. Cet ouvrage, qui presente et analyse des donnees de premiere main (recoltees au cours de quatre mois d'enquete sur le terrain), comble donc une lacune importante, d'autant plus que cette langue est reputee inclassable. Elle constitue en effet un rameau isole du groupe Atlantique de la grande macro-famille Niger-Congo. Le parler etudie ici est celui de l'ile de Bubaque. La presentation de ses structures est guidee par les faits, sans s'enfermer dans un cadre theorique trop rigide. Si tous les aspects de la langue habituellement presents dans une premiere description sont traites - phonologie, parties du discours, structures de l'enonce, morphologie du nom et du verbe -, il a davantage mis l'accent sur la morphologie du nom (par l'exploration detaillee du systeme desclasses nominales) et du verbe (qui dispose d'une extreme finesse dans l'expression de valeurs aspectuelles ou modales). Le bijogo est aujourd'hui menace, comme la plupart des 'petites' langues. Cependant, sa richesse et sa creativite peuvent lui permettre de survivre aux nombreux bouleversements qui touchent les societes traditionnelles."", ""language"": ""fr"", ""publishedDate"": ""2002"", ""imageLinks"": {""smallThumbnail"": ""http://bks5.books.google.de/books?id=45dkAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks5.books.google.de/books?id=45dkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=45dkAAAAMAAJ&q=inauthor:Segerer,+Guillaume+intitle:La+langue+Bijogo+de+Bubaque+(Guin%C3%A9e+Bissau)&dq=inauthor:Segerer,+Guillaume+intitle:La+langue+Bijogo+de+Bubaque+(Guin%C3%A9e+Bissau)&hl=&cd=1&source=gbs_api"", ""title"": ""La langue bijogo de Bubaque (Guin\u00e9e Bissau)"", ""printType"": ""BOOK"", ""pageCount"": 310, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9042911875"", ""type"": ""ISBN_10""}, {""identifier"": ""9789042911871"", ""type"": ""ISBN_13""}], ""authors"": [""Guillaume Segerer""], ""infoLink"": ""http://books.google.de/books?id=45dkAAAAMAAJ&dq=inauthor:Segerer,+Guillaume+intitle:La+langue+Bijogo+de+Bubaque+(Guin%C3%A9e+Bissau)&hl=&source=gbs_api"", ""categories"": [""Language Arts & Disciplines""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/La_langue_bijogo_de_Bubaque_Guin%C3%A9e_Biss.html?hl=&id=45dkAAAAMAAJ""}, ""searchInfo"": {""textSnippet"": ""Dans l&#39;archipel des Bijagos, en Guinee Bissau, vit une population encore profondement ancree dans la tradition.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""bZL0mRswotc"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=45dkAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""45dkAAAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/45dkAAAAMAAJ""}}",base,gsegererbijogo2000,Segerer 2000,La langue Bijogo de Bubaque (Guinée Bissau),,,45dkAAAAMAAJ,phdthesis,"Segerer, Guillaume",2000,La langue Bijogo de Bubaque (Guinée Bissau),,,,457,,,Université Paris III – Sorbonne Nouvelle,,,,,,,,,,,,,
180,"{""gbs"": {}}",base,sdabrahamtiv,Abraham 1933,The grammar of Tiv,,,,book,"Abraham, Roy Clive",1933,The grammar of Tiv,,,,108+202,,,,,,,,,,Kaduna: Nigeria Political Service,,,,,,
181,"{""gbs"": {}}",base,gfofanaschleicherpulaar,Fofana and Schleicher 2002,Pulaar learners' reference grammar,,,,book,"Fofana, Amadou Tidiane and Schleicher, Antonia Folarin",2002,Pulaar learners' reference grammar,,,,xxii+358,,,,,,,,African language learners' reference grammar series,2,Madison: NALRC (National African Language Resource Center) Press,,,,,,
182,"{""gbs"": {}}",base,garnottfula,Arnott 1970,The nominal and verbal systems of Fula,,,,book,"Arnott, David Whitehorn",1970,The nominal and verbal systems of Fula,,,,472,,,,Oxford,,,,,,Oxford: Clarendon Press,,,,,,
183,"{""gbs"": {}}",base,gdiallofuutajaloo,Diallo 2000,Grammaire Descriptive du pular du Fuuta Jaloo (Guinée),,,,book,"Diallo, Abdourahmane",2000,Grammaire Descriptive du pular du Fuuta Jaloo (Guinée),,,,xix+256,,,,,,,,Schriften zur Afrikanistik,3,Frankfurt am Main: Peter Lang,,,,,,
184,"{""gbs"": {}}",base,gbreedveldmaasinankore,Breedveld 1995,Form and meaning in Fulfulde: a morphonological study of Maasinankore,,,,book,"Breedveld, J.O.",1995,Form and meaning in Fulfulde: a morphonological study of Maasinankore,,,,528,,,,,,,,,,"Research School of Asian, African and Amerindian Studies (CNWS)",,,,,,
185,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""essais de description linguistique"", ""language"": ""fr"", ""pageCount"": 585, ""previewLink"": ""http://books.google.de/books?id=7t-spwAACAAJ&dq=inauthor:Dumestre,+G%C3%A9rard+intitle:Le+bambara+du+Mali:+essais+de+d%C3%A9scription+linguistique&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1994"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""2910809005"", ""type"": ""ISBN_10""}, {""identifier"": ""9782910809003"", ""type"": ""ISBN_13""}], ""authors"": [""G\u00e9rard Dumestre""], ""title"": ""Le Bambara du Mali"", ""infoLink"": ""http://books.google.de/books?id=7t-spwAACAAJ&dq=inauthor:Dumestre,+G%C3%A9rard+intitle:Le+bambara+du+Mali:+essais+de+d%C3%A9scription+linguistique&hl=&source=gbs_api"", ""categories"": [""Bambara language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Le_Bambara_du_Mali.html?hl=&id=7t-spwAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""xpj7ZkjKIG0"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=7t-spwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""7t-spwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/7t-spwAACAAJ""}}",base,gdumestrebambaramali,Dumestre 1987,Le bambara du Mali: essais de déscription linguistique,,,7t-spwAACAAJ,phdthesis,"Dumestre, Gérard",1987,Le bambara du Mali: essais de déscription linguistique,,,,566,,,"Institut National des Langues et Civilisations Orientales (INALCO), Université de la Sorbonne Nouvelle (Paris III)",,,,,,,,,,,,,
186,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""ProQuest"", ""description"": ""The flexibility of the account is illustrated by two case studies in nominalization in Italian and in Wan (Mande), each dealing with its own kind of \""unusual\"" mixed category that is problematic for the previously proposed approaches to category mixing."", ""language"": ""en"", ""publishedDate"": ""2008"", ""imageLinks"": {""smallThumbnail"": ""http://bks8.books.google.de/books?id=lUXqEKHEWMwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://bks8.books.google.de/books?id=lUXqEKHEWMwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=lUXqEKHEWMwC&pg=PA60&dq=inauthor:Nikitina,+Tatiana+V.+intitle:The+syntax+of+postpositional+phrases+in+Wan,+an+%22SOVX%22+language&hl=&cd=1&source=gbs_api"", ""title"": ""The Mixing of Syntactic Properties and Language Change"", ""printType"": ""BOOK"", ""pageCount"": 274, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0549846905"", ""type"": ""ISBN_10""}, {""identifier"": ""9780549846901"", ""type"": ""ISBN_13""}], ""authors"": [""Tatiana V. Nikitina""], ""infoLink"": ""http://books.google.de/books?id=lUXqEKHEWMwC&dq=inauthor:Nikitina,+Tatiana+V.+intitle:The+syntax+of+postpositional+phrases+in+Wan,+an+%22SOVX%22+language&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Mixing_of_Syntactic_Properties_and_L.html?hl=&id=lUXqEKHEWMwC""}, ""searchInfo"": {""textSnippet"": ""<b>Tatiana V</b>. Nikitina. The assumption that verbs and their <b>postpositional</b> arguments <br>\nform a <b>syntactic</b> constituent is implicit in the analysis of Mahou (Central ... (3.11) <br>\nMovement-based analysis of <b>SOVX</b> word order ^^V^ [Npe], PP NPj V ! 4 : i i The <br>\nevidence discussed in the previous ... In <b>Wan</b>, <b>postpositional phrases</b> never <br>\nappear next to a non-finite verb, suggesting that they cannot in principle be <br>\nrealized in&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""zbU7jApfaN0"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=lUXqEKHEWMwC&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": true, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""PARTIAL"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""SAMPLE""}, ""id"": ""lUXqEKHEWMwC"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/lUXqEKHEWMwC""}}",base,typnikitinawanpostpositional,Nikitina 2009,"The syntax of postpositional phrases in Wan, an ""SOVX"" language",,,lUXqEKHEWMwC,article,"Nikitina, Tatiana V.",2009,"The syntax of postpositional phrases in Wan, an ""SOVX"" language",,,,907-930,,Studies in Language,,,,,4,,33,,,,,,,
187,"{""gbs"": {}}",base,gflemingmona,Fleming 1995,An introduction to Mona grammar,,,,mastersthesis,"Fleming, Carolina B.",1995,An introduction to Mona grammar,,,,159,,,University of Texas at Arlington,Ann Arbor,,,,,,,,,,,,
188,"{""gbs"": {}}",base,growlandsmandinka,Rowlands 1959,A Grammar of Gambian Mandinka,,,,book,"Rowlands, Evan C.",1959,A Grammar of Gambian Mandinka,,,,159,,,,London,,,,,,"London: School of Oriental and African Studies, University of London",,,,,,
189,"{""gbs"": {}}",base,groulondokogbaya,Roulon-Doko 1997,Parlons gbaya,,,,book,"Roulon-Doko, Paulette",1997,Parlons gbaya,,,,267,,,,,,,,Collection Parlons,,Paris: L'Harmattan,,,,,,
190,"{""gbs"": {}}",base,grabdiihbachen,Rabdi 2004,"Le parler d'Ihbachen (Kabylie orientale, Algérie): esquisse phonologique et morphologique",,,,book,"Rabdi, Larbi",2004,"Le parler d'Ihbachen (Kabylie orientale, Algérie): esquisse phonologique et morphologique",,,,158,,,,,,,,Berber studies,7,Köln: Rüdiger Köppe Verlag,,,,,,
191,"{""gbs"": {}}",base,sharfletttateselee,Harflett and Tate 1999,Sɛlɛɛ Grammar: a Preliminary Study,,,,book,"Harflett, Sharon and Tate, Peter",1999,Sɛlɛɛ Grammar: a Preliminary Study,,,,,,,,,,,,,,Santrokofi-Benua: Ghana Institute of Linguistics Literacy and Bible Translation (GILLBT),,,,,,
192,"{""gbs"": {}}",base,smousmbugwe,Mous 2004,"A Grammatical Sketch of Mbugwe: Bantu F34, Tanzania",,,,book,"Mous, Maarten",2004,"A Grammatical Sketch of Mbugwe: Bantu F34, Tanzania",,,,vii+70,,,,,,,,Grammatische Analysen Afrikanischer Sprachen,23,Köln: Rüdiger Köppe,,,,,,
193,"{""gbs"": {}}",base,typrolleesan,Rolle 2012,The Post-nominal Pronoun Construction in Esan,,,,incollection,"Rolle, Nicholas",2012,The Post-nominal Pronoun Construction in Esan,,Selected Proceedings of the 41st Annual Conference on African Linguistics,"Connell, Bruce and Rolle, Nicholas",81-91,,,,,,,,,,"Somerville, MA: Cascadilla Proceedings Project",,,,,,
194,"{""gbs"": {}}",base,gosamakan,Osam 1994,Aspects of Akan Grammar: A Functional Perspective,,,,phdthesis,"Osam, Emmanuel Kweku Ahen",1994,Aspects of Akan Grammar: A Functional Perspective,,,,324,,,University of Oregon,,,,,,,,,,,,,
195,"{""gbs"": {}}",base,gorkaydokonso,Ongaye 2013,A grammar of Konso,,,,phdthesis,"Ongaye, Oda Orkaydo",2013,A grammar of Konso,,,,357,,,Rijksuniversiteit te Leiden,,,,,,,,,,,,,
196,"{""gbs"": {}}",base,gdimmendaalturkana,Dimmendaal 1983,The Turkana Language,,,,book,"Dimmendaal, Gerrit Jan",1983,The Turkana Language,,,,512,,,,,,,,Publications in African Languages and Linguistics,,Dordrecht: Foris Publications,,,,,,
197,"{""gbs"": {}}",base,gfrajzyngiergidar,Frajzyngier 2008,A Grammar of Gidar,,,,book,"Frajzyngier, Zygmunt",2008,A Grammar of Gidar,,,,504,,,,Frankfurt,,,,Schriften zur Afrikanistik,13,Frankfurt: Lang,,,,,,
198,"{""gbs"": {}}",base,gsagnabanjal,Sagna 2008,Formal and semantic properties of the Gújjolaay Eegimaa (A.k.a Banjal) nominal classification system,,,,phdthesis,"Sagna, Serge",2008,Formal and semantic properties of the Gújjolaay Eegimaa (A.k.a Banjal) nominal classification system,,,,330,,,"School of Oriental and African Studies, University of London",,,,,,,,,,,,,
199,"{""gbs"": {}}",base,gmousiraqw1993,Mous 1993,A grammar of Iraqw,,,,book,"Mous, Maarten",1993,A grammar of Iraqw,Book,,,xvi+361,,,,,,,,Cushitic language studies (Kuschitische Sprachstudien),9,Helmut Buske Verlag,,,,,,
200,"{""gbs"": {}}",base,glovestrandbarain,Lovestrand 2012,The Linguistic Structure of Baraïn (Chadic),,,,mastersthesis,"Lovestrand, Joseph",2012,The Linguistic Structure of Baraïn (Chadic),,,,311,,,The Graduate Institute of Applied Linguistics,,,,,,,,,,,,,
201,"{""gbs"": {}}",base,gashtonetalluganda,Ashton et al. 1954,A Luganda grammar,,,,book,"Ashton, E.O. and Mulira, E.M.K. and Ndawula, E. G. M.",1954,A Luganda grammar,,,,ix+516,,,,,,,,,,"London: Longmans, Green and Co.",,,,,,
202,"{""gbs"": {}}",base,gcrabtreeluganda,Crabtree 1902,Elements of Luganda Grammar,,,,book,"Crabtree, W. A.",1902,Elements of Luganda Grammar,,,,260,,,,London,,,,,,London: Society for the Promotion of Christian Knowledge,,,,,,
203,"{""gbs"": {}}",base,smcphersonluganda,McPherson 2008,A descriptive and theoretical account of Luganda verbal morphology,,,,phdthesis,"McPherson, Laura",2008,A descriptive and theoretical account of Luganda verbal morphology,,,,131,,,Scripps College,,,,,,,,,,,,,
204,"{""gbs"": {}}",base,lddukeaka,Duke 2001,Aka as a contact language: Sociolinguistic and grammatical evidence,,,,mastersthesis,"Duke, David",2001,Aka as a contact language: Sociolinguistic and grammatical evidence,,,,xv+171,,,University of Texas at Arlington,,,,,,,,,,,,,
205,"{""gbs"": {}}",base,gforkerhinuq,Forker 2011,A grammar of Hinuq,,,,phdthesis,"Forker, Diana",2011,A grammar of Hinuq,,,,787,,,University of Leipzig,,,,,,,,,,,,,
206,"{""gbs"": {}}",base,dbrissonboursierbaka,Brisson and Boursier 1979,Petit dictionnaire Baka-Français,,,,book,"Brisson, Robert and Boursier, Daniel",1979,Petit dictionnaire Baka-Français,,,,537,,,,Douala,,,,,,Douala: Collège Libermann,,,,,,
207,"{""gbs"": {}}",base,sdjoupeebaka,Djoupée 2002,Morphologie Nominale du Baka,,,,mastersthesis,"Djoupée, B.",2002,Morphologie Nominale du Baka,,,,,,,The University of Yaoundé I,,,,,,,,,,,,,
208,"{""gbs"": {}}",base,gkilianhatzbaka,Kilian-Hatz 1995,Das Baka: Grundzüge einer Grammatik aus der Grammatikalisierungsperspektive,,,,book,"Kilian-Hatz, Christa",1995,Das Baka: Grundzüge einer Grammatik aus der Grammatikalisierungsperspektive,,,,xviii+343,,,,,,,,Afrikanistische Monografien (AMO),6,"Institut für Afrikanistik, Universität zu Köln",,,,,,
209,"{""gbs"": {}}",base,gthomassakun,Thomas 2014,A Grammar of Sakun (Sukur),,,,phdthesis,"Thomas, Michael F.",2014,A Grammar of Sakun (Sukur),,,,435,,,University of Colorado at Boulder,,,,,,,,,,,,,
210,"{""gbs"": {}}",base,styphammondwhitesands,Hammond 2015,Switch Reference in Whitesands: Theoretical Issues and Experimental Evidence,,,,phdthesis,"Hammond, Jeremy",2015,Switch Reference in Whitesands: Theoretical Issues and Experimental Evidence,,,,259,,,Radboud University Nijmegen,,,,,,,,,,,,,
211,"{""gbs"": {}}",base,ssantandreagolo,Santandrea 1957,An Elementary Study of the Golo Language,,,,article,"Santandrea, Stefano",1957,An Elementary Study of the Golo Language,,,,899-936,,Anthropos,,Posieux (Fribourg),,,,,52,,,,,,,
212,"{""gbs"": {}}",base,sfouloubazoumanzakara,Foulou-Bazouma 2006,Le Système nominal du Nzakara,,,,mastersthesis,"Foulou-Bazouma, Emmanuel",2006,Le Système nominal du Nzakara,,,,,,,Université de Bangui,,,,,,,,,,,,,
213,"{""gbs"": {}}",base,ghyslopkurtop,Hyslop 2010,A grammar of Kurtöp,,,,phdthesis,"Hyslop, Gwendolyn",2010,A grammar of Kurtöp,,,,769,,,University of Oregon,,,,,,,,,,,,,
214,"{""gbs"": {}}",base,gfeistskoltsaami,Feist 2010,A Grammar of Skolt Saami,,,,phdthesis,"Feist, Timothy",2010,A Grammar of Skolt Saami,,,,478,,,University of Manchester,,,,,,,,,,,,,
215,"{""gbs"": {}}",base,sdlekensngbanditaal,Lekens 1923,Spraakkunst der Ngbanditaal,,,,book,"Lekens, P. Benjamin",1923,Spraakkunst der Ngbanditaal,,,,xviii+319,,,,Brugge,,,,,,Brugge: K. Beyart; C. Houdmont-Cortvriendt,,,,,,
216,"{""gbs"": {}}",base,typnouguierwolof,Nouguier Voisin 2002,Relations entre fonctions syntaxiques et fonctions sémantiques en wolof,,,,phdthesis,"Nouguier Voisin, Sylvie",2002,Relations entre fonctions syntaxiques et fonctions sémantiques en wolof,,,,xvi+371,,,University of Lyon,,,,,,,,,,,,,
217,"{""gbs"": {}}",base,gbenoistgouro,Benoist 1969,Grammaire Gouro (groupe Mandé - Côte d'Ivoire),,,,book,"Benoist, Jean-Paul",1969,Grammaire Gouro (groupe Mandé - Côte d'Ivoire),,,,,,,,,,,,Documents,3,Lyon: Afrique et langage,,,,,,
218,"{""gbs"": {}}",base,gkawachisidaama,Kawachi 2007,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,,,,phdthesis,"Kawachi, K.",2007,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,,,,,,,State University of New York at Buffalo,,,,,,,,,,,,,
219,"{""gbs"": {}}",base,gnoonanlango,Noonan 1992,A Grammar of Lango,,,,book,"Noonan, Michael",1992,A Grammar of Lango,,,,xvi+352,,,,,,,,Mouton Grammar Library,7,Berlin: Mouton de Gruyter,,,,,,
220,"{""gbs"": {}}",base,gcraneetalnzadi,Crane et al. 2011,A grammar of Nzadi [B865]: A Bantu language of Democratic Republic of Congo,,,,book,"Crane, Thera M. and Hyman, Larry M. and Tukumu, Simon Nsielanga",2011,A grammar of Nzadi [B865]: A Bantu language of Democratic Republic of Congo,,,,312,,,,,,,,University of California Publications in Linguistics,147,Berkeley: University of California Press,,,,,,
221,"{""gbs"": {}}",base,gstirtzgaahmg,Stirtz 2012,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan",,,,phdthesis,"Stirtz, Timothy",2012,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan",,,,350,,,Rijksuniversiteit te Leiden,,,,,,,,,,,,,
222,"{""gbs"": {}}",base,grehanywa,Reh 1996,Anywa Language: Description and Internal Reconstructions,,,,book,"Reh, Mechthild",1996,Anywa Language: Description and Internal Reconstructions,,,,xviii+575,,,,,,,,Nilo-Saharan: Linguistics Analyses and Documentation,11,Köln: Rüdiger Köppe,,,,,,
223,"{""gbs"": {}}",base,galamintima2012,Alamin Mubarak 2012,The Nominal and Verbal Morphology of Tima: A Niger-Congo Language Spoken in the Nuba Mountains,,,,book,"Alamin Mubarak, Suzan",2012,The Nominal and Verbal Morphology of Tima: A Niger-Congo Language Spoken in the Nuba Mountains,,,,161,,,,,,,,,,Köln: Köppe,,,,,,
224,"{""gbs"": {}}",base,gfrajzyngierhdi,Frajzyngier 2002,A Grammar of Hdi,,,,book,"Frajzyngier, Zygmunt",2002,A Grammar of Hdi,,,,xxiii+550,,,,Berlin,,,,Mouton Grammar Library,21,Berlin: Mouton de Gruyter,,,,,,
225,"{""gbs"": {}}",base,sstevensontira,Stevenson 2009,A grammar of Tira,,,,incollection,"Stevenson, Roland C.",2009,A grammar of Tira,,Tira and Otoro: Two Kordofanian grammars,"Schadeberg, Thilo C.",1-114,,,,,,,,Archiv afrikanistischer Manuskripte,8,Köln: Rüdiger Köppe Verlag,,,,,,
226,"{""gbs"": {}}",base,gcarlinso,Carlin 1993,The So Language,,,,book,"Carlin, Eithne",1993,The So Language,,,,vii+220,,,,,,,,Afrikanistische Monografien (AMO),2,"Institut für Afrikanistik, Universität zu Köln",,,,,,
227,"{""gbs"": {}}",base,sthomasbahuchetaka,Thomas and Bahuchet 1991,Les Pygmées Aka: La Langue,,,,book,"Thomas, Jacqueline Mauricette Christiane and Bahuchet, Serge",1991,Les Pygmées Aka: La Langue,,,,186,,,,,,,,Encyclopédie des pygmées Aka: téchniques langage et société des chasseurs-collecteurs de centrafricaine,I:4,Paris: Soc. des Etudes Linguistiques et Anthropologiques de France (SELAF),,,,,,
228,"{""gbs"": {}}",base,gahlandnorthernmao,Ahland 2012,A grammar of Northern Mao (Màwés Aas'è),,,,phdthesis,"Ahland, Michael Bryan",2012,A grammar of Northern Mao (Màwés Aas'è),,,,776,,,University of Oregon,,,,,,,,,,,,,
229,"{""gbs"": {}}",base,gsegererbijogo,Segerer 2002,La langue Bijogo de Bubaque (Guinée-Bissau),,,,book,"Segerer, Guillaume",2002,La langue Bijogo de Bubaque (Guinée-Bissau),,,,310,,,,,,,,Afrique et Langage,3,Paris: Peeters,,,,,,
230,"{""gbs"": {}}",base,sabrahamtiv,Abraham 1968 [1940],The Principles of Tiv,,,,book,"Abraham, Roy. C.",1968 [1940],The Principles of Tiv,,,,xvi+102,,,,London,,,,,,London: Pub. on behalf of the government of Nigeria by the Crown agents for the colonies,,,,,,
231,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""fr"", ""pageCount"": 613, ""previewLink"": ""http://books.google.de/books?id=DogaygAACAAJ&dq=inauthor:Sylla,+Y%C3%A8ro+intitle:Universaux+syntaxiques+et+structure+du+pulaar&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1990"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:493697518"", ""type"": ""OTHER""}], ""authors"": [""Yero Sylla""], ""title"": ""Universaux syntaxiques et structure du Pulaar"", ""infoLink"": ""http://books.google.de/books?id=DogaygAACAAJ&dq=inauthor:Sylla,+Y%C3%A8ro+intitle:Universaux+syntaxiques+et+structure+du+pulaar&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/Universaux_syntaxiques_et_structure_du_P.html?hl=&id=DogaygAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""sGUmcKsS+Uo"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=DogaygAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""DogaygAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/DogaygAACAAJ""}}",base,gsyllapulaar,Sylla 1988,Universaux syntaxiques et structure du pulaar,,,DogaygAACAAJ,phdthesis,"Sylla, Yèro",1988,Universaux syntaxiques et structure du pulaar,,,,616,,,Université de la Sorbonne Nouvelle – Paris III,,,,,,,,,,,,,
232,"{""gbs"": {}}",base,gdumestrebambara2003,Dumestre 2003,Grammaire fondamentale du bambara,,,,book,"Dumestre, Gérard",2003,Grammaire fondamentale du bambara,,,,422,,,,Paris,,,,,,Paris: Ed. Karthala,,,,,,
233,"{""gbs"": {}}",base,typperekhvalskayamwandeictique,Perekhvalskaya 2013,L'espace déictique dans la langue mwan,,,,article,"Perekhvalskaya, Elena",2013,L'espace déictique dans la langue mwan,,,,103-116,,Mandenkan,,,,,,,50,,,,,,,
234,"{""gbs"": {}}",base,hkroppdakubucentraltogo,Kropp Dakubu and Ford 1988,The Central-Togo Languages,,,,incollection,"Kropp Dakubu, Mary E. and Ford, Kevin C.",1988,The Central-Togo Languages,,The Languages of Ghana,"Kropp Dakubu, Mary E.",119-154,,,,London,,,,African Languages: Occasional Publication,,London: Kegan Paul,,,,,,
235,"{""gbs"": {}}",base,gagbetsoamedoselee,Agbetsoamedo 2014,Aspects of the grammar and lexicon of Sɛlɛɛ,,,,phdthesis,"Agbetsoamedo, Yvonne",2014,Aspects of the grammar and lexicon of Sɛlɛɛ,,,,292,,,Stockholm University,,,,,,,,,,,,,
